prompt_id,session_id,user_id,prompt_type,prompt_quality_score,prompt_attempt_number,output_id,output_quality_score,feedback,edited_output,good_output_flag,experiment_group,new_output_quality,new_feedback,new_good_output_flag
1,1,1,summary,6,1,1,5,bad,1,0,treatment,8,good,1
2,1,1,assignment,6,2,2,5,bad,1,0,treatment,6,bad,0
3,2,1,assignment,4,1,3,5,bad,1,0,control,3,bad,0
4,2,1,assignment,3,2,4,4,bad,1,0,control,5,bad,0
5,2,1,assignment,5,3,5,3,bad,1,0,treatment,5,bad,0
6,3,2,summary,7,1,6,7,good,0,1,treatment,6,bad,0
7,3,2,summary,7,2,7,5,bad,1,0,treatment,7,good,1
8,4,3,report,5,1,8,4,bad,1,0,control,7,good,1
9,4,3,summary,5,2,9,6,bad,1,0,control,6,bad,0
10,4,3,report,5,3,10,5,bad,1,0,treatment,4,bad,0
11,4,3,report,5,4,11,2,bad,1,0,treatment,4,bad,0
12,4,3,report,4,5,12,3,bad,1,0,control,3,bad,0
13,5,3,report,3,1,13,5,bad,1,0,control,4,bad,0
14,5,3,report,3,2,14,4,bad,1,0,control,4,bad,0
15,5,3,report,3,3,15,3,bad,1,0,control,5,bad,0
16,6,3,summary,5,1,16,2,bad,1,0,treatment,5,bad,0
17,6,3,summary,5,2,17,5,bad,1,0,control,6,bad,0
18,7,4,summary,7,1,18,5,bad,1,0,treatment,6,bad,0
19,7,4,assignment,6,2,19,7,good,0,1,control,8,good,1
20,7,4,assignment,7,3,20,7,good,0,1,treatment,8,good,1
21,7,4,assignment,7,4,21,7,good,0,1,treatment,9,good,1
22,7,4,assignment,6,5,22,8,good,0,1,treatment,8,good,1
23,8,4,assignment,5,1,23,7,good,0,1,control,4,bad,0
24,8,4,assignment,6,2,24,5,bad,1,0,control,5,bad,0
25,8,4,assignment,7,3,25,7,good,0,1,treatment,7,good,1
26,8,4,assignment,6,4,26,5,bad,1,0,treatment,6,bad,0
27,9,4,assignment,5,1,27,4,bad,1,0,control,7,good,1
28,9,4,assignment,5,2,28,7,good,0,1,control,4,bad,0
29,9,4,assignment,6,3,29,5,bad,1,0,treatment,6,bad,0
30,10,5,assignment,5,1,30,2,bad,1,0,treatment,7,good,1
31,10,5,summary,5,2,31,4,bad,1,0,control,6,bad,0
32,10,5,assignment,5,3,32,3,bad,1,0,treatment,5,bad,0
33,11,5,summary,5,1,33,2,bad,1,0,treatment,5,bad,0
34,11,5,assignment,5,2,34,5,bad,1,0,control,5,bad,0
35,12,5,assignment,5,1,35,5,bad,1,0,control,5,bad,0
36,13,6,summary,8,1,36,8,good,0,1,treatment,7,good,1
37,13,6,assignment,9,2,37,9,good,0,1,treatment,10,good,1
38,14,6,assignment,8,1,38,8,good,0,1,control,8,good,1
39,14,6,summary,7,2,39,7,good,0,1,treatment,8,good,1
40,14,6,assignment,7,3,40,8,good,0,1,treatment,7,good,1
41,14,6,assignment,7,4,41,8,good,0,1,treatment,9,good,1
42,15,6,summary,9,1,42,9,good,0,1,control,10,good,1
43,15,6,summary,9,2,43,9,good,0,1,treatment,8,good,1
44,16,7,assignment,3,1,44,5,bad,1,0,control,2,bad,0
45,17,7,assignment,6,1,45,5,bad,1,0,treatment,8,good,1
46,18,7,summary,7,1,46,6,bad,1,0,treatment,9,good,1
47,18,7,assignment,5,2,47,3,bad,1,0,treatment,5,bad,0
48,19,8,report,7,1,48,9,good,0,1,control,7,good,1
49,19,8,report,6,2,49,7,good,0,1,treatment,7,good,1
50,19,8,summary,7,3,50,9,good,0,1,control,6,bad,0
51,19,8,report,5,4,51,4,bad,1,0,control,5,bad,0
52,20,8,summary,7,1,52,7,good,0,1,treatment,9,good,1
53,20,8,report,7,2,53,7,good,0,1,treatment,7,good,1
54,21,8,report,7,1,54,7,good,0,1,treatment,9,good,1
55,21,8,summary,6,2,55,7,good,0,1,control,7,good,1
56,22,9,summary,6,1,56,5,bad,1,0,treatment,7,good,1
57,22,9,report,7,2,57,7,good,0,1,control,7,good,1
58,23,9,report,7,1,58,6,bad,1,0,control,6,bad,0
59,24,9,summary,7,1,59,7,good,0,1,treatment,9,good,1
60,24,9,report,6,2,60,6,bad,1,0,control,6,bad,0
61,24,9,report,7,3,61,5,bad,1,0,treatment,6,bad,0
62,24,9,report,7,4,62,6,bad,1,0,treatment,8,good,1
63,24,9,summary,7,5,63,6,bad,1,0,treatment,7,good,1
64,25,10,summary,5,1,64,7,good,0,1,control,6,bad,0
65,25,10,summary,5,2,65,5,bad,1,0,control,7,good,1
66,25,10,report,7,3,66,5,bad,1,0,treatment,7,good,1
67,25,10,report,7,4,67,7,good,0,1,control,8,good,1
68,26,10,report,7,1,68,9,good,0,1,control,7,good,1
69,26,10,report,6,2,69,6,bad,1,0,control,6,bad,0
70,26,10,report,6,3,70,7,good,0,1,control,7,good,1
71,27,10,report,6,1,71,7,good,0,1,control,5,bad,0
72,27,10,report,5,2,72,5,bad,1,0,control,4,bad,0
73,28,11,assignment,9,1,73,10,good,0,1,treatment,8,good,1
74,29,12,report,7,1,74,4,bad,1,0,treatment,6,bad,0
75,29,12,summary,7,2,75,9,good,0,1,treatment,8,good,1
76,30,12,report,7,1,76,4,bad,1,0,treatment,8,good,1
77,30,12,report,5,2,77,7,good,0,1,control,6,bad,0
78,30,12,report,6,3,78,6,bad,1,0,treatment,6,bad,0
79,30,12,summary,5,4,79,4,bad,1,0,control,4,bad,0
80,30,12,report,5,5,80,4,bad,1,0,control,4,bad,0
81,31,13,report,8,1,81,9,good,0,1,control,10,good,1
82,31,13,report,9,2,82,8,good,0,1,control,9,good,1
83,31,13,report,8,3,83,9,good,0,1,control,8,good,1
84,32,13,summary,9,1,84,8,good,0,1,control,10,good,1
