output_id,prompt_id,output_quality_score,feedback,edited_output,good_output_flag
1,1,5,bad,1,0
2,2,5,bad,1,0
3,3,5,bad,1,0
4,4,4,bad,1,0
5,5,3,bad,1,0
6,6,7,good,0,1
7,7,5,bad,1,0
8,8,4,bad,1,0
9,9,6,bad,1,0
10,10,5,bad,1,0
11,11,2,bad,1,0
12,12,3,bad,1,0
13,13,5,bad,1,0
14,14,4,bad,1,0
15,15,3,bad,1,0
16,16,2,bad,1,0
17,17,5,bad,1,0
18,18,5,bad,1,0
19,19,7,good,0,1
20,20,7,good,0,1
21,21,7,good,0,1
22,22,8,good,0,1
23,23,7,good,0,1
24,24,5,bad,1,0
25,25,7,good,0,1
26,26,5,bad,1,0
27,27,4,bad,1,0
28,28,7,good,0,1
29,29,5,bad,1,0
30,30,2,bad,1,0
31,31,4,bad,1,0
32,32,3,bad,1,0
33,33,2,bad,1,0
34,34,5,bad,1,0
35,35,5,bad,1,0
36,36,8,good,0,1
37,37,9,good,0,1
38,38,8,good,0,1
39,39,7,good,0,1
40,40,8,good,0,1
41,41,8,good,0,1
42,42,9,good,0,1
43,43,9,good,0,1
44,44,5,bad,1,0
45,45,5,bad,1,0
46,46,6,bad,1,0
47,47,3,bad,1,0
48,48,9,good,0,1
49,49,7,good,0,1
50,50,9,good,0,1
51,51,4,bad,1,0
52,52,7,good,0,1
53,53,7,good,0,1
54,54,7,good,0,1
55,55,7,good,0,1
56,56,5,bad,1,0
57,57,7,good,0,1
58,58,6,bad,1,0
59,59,7,good,0,1
60,60,6,bad,1,0
61,61,5,bad,1,0
62,62,6,bad,1,0
63,63,6,bad,1,0
64,64,7,good,0,1
65,65,5,bad,1,0
66,66,5,bad,1,0
67,67,7,good,0,1
68,68,9,good,0,1
69,69,6,bad,1,0
70,70,7,good,0,1
71,71,7,good,0,1
72,72,5,bad,1,0
73,73,10,good,0,1
74,74,4,bad,1,0
75,75,9,good,0,1
76,76,4,bad,1,0
77,77,7,good,0,1
78,78,6,bad,1,0
79,79,4,bad,1,0
80,80,4,bad,1,0
81,81,9,good,0,1
82,82,8,good,0,1
83,83,9,good,0,1
84,84,8,good,0,1
85,85,10,good,0,1
86,86,8,good,0,1
87,87,7,good,0,1
88,88,3,bad,1,0
89,89,7,good,0,1
