prompt_id,session_id,user_id,prompt_type,prompt_quality_score,prompt_attempt_number
1,1,1,summary,4,1
2,1,1,assignment,4,2
3,2,1,assignment,4,1
4,2,1,assignment,3,2
5,2,1,assignment,3,3
6,3,2,summary,5,1
7,3,2,summary,5,2
8,4,3,report,5,1
9,4,3,summary,5,2
10,4,3,report,3,3
11,4,3,report,3,4
12,4,3,report,4,5
13,5,3,report,3,1
14,5,3,report,3,2
15,5,3,report,3,3
16,6,3,summary,3,1
17,6,3,summary,5,2
18,7,4,summary,5,1
19,7,4,assignment,6,2
20,7,4,assignment,5,3
21,7,4,assignment,7,4
22,7,4,assignment,6,5
23,8,4,assignment,5,1
24,8,4,assignment,6,2
25,8,4,assignment,5,3
26,8,4,assignment,6,4
27,9,4,assignment,5,1
28,9,4,assignment,5,2
29,9,4,assignment,6,3
30,10,5,assignment,3,1
31,10,5,summary,5,2
32,10,5,assignment,3,3
33,11,5,summary,3,1
34,11,5,assignment,5,2
35,12,5,assignment,5,1
36,13,6,summary,8,1
37,13,6,assignment,9,2
38,14,6,assignment,8,1
39,14,6,summary,7,2
40,14,6,assignment,7,3
41,14,6,assignment,7,4
42,15,6,summary,9,1
43,15,6,summary,9,2
44,16,7,assignment,3,1
45,17,7,assignment,4,1
46,18,7,summary,5,1
47,18,7,assignment,3,2
48,19,8,report,7,1
49,19,8,report,6,2
50,19,8,summary,7,3
51,19,8,report,5,4
52,20,8,summary,7,1
53,20,8,report,5,2
54,21,8,report,5,1
55,21,8,summary,6,2
56,22,9,summary,6,1
57,22,9,report,7,2
58,23,9,report,7,1
59,24,9,summary,5,1
60,24,9,report,6,2
61,24,9,report,5,3
62,24,9,report,5,4
63,24,9,summary,5,5
64,25,10,summary,5,1
65,25,10,summary,5,2
66,25,10,report,5,3
67,25,10,report,7,4
68,26,10,report,7,1
69,26,10,report,6,2
70,26,10,report,6,3
71,27,10,report,6,1
72,27,10,report,5,2
73,28,11,assignment,9,1
74,29,12,report,5,1
75,29,12,summary,7,2
76,30,12,report,5,1
77,30,12,report,5,2
78,30,12,report,6,3
79,30,12,summary,5,4
80,30,12,report,5,5
81,31,13,report,8,1
82,31,13,report,9,2
83,31,13,report,8,3
84,32,13,summary,9,1
85,32,13,report,9,2
86,32,13,report,9,3
87,32,13,report,8,4
88,33,14,assignment,4,1
89,33,14,assignment,5,2
90,33,14,assignment,5,3
91,33,14,summary,4,4
92,33,14,summary,5,5
93,34,14,summary,5,1
94,34,14,assignment,5,2
95,34,14,assignment,4,3
96,34,14,assignment,4,4
97,34,14,assignment,5,5
98,35,15,assignment,5,1
99,35,15,summary,7,2
100,35,15,assignment,6,3
101,35,15,summary,5,4
102,36,15,assignment,5,1
103,37,15,assignment,7,1
104,38,16,assignment,4,1
105,38,16,assignment,3,2
106,38,16,assignment,5,3
107,39,16,summary,4,1
108,39,16,summary,4,2
109,39,16,assignment,4,3
110,39,16,assignment,4,4
111,40,16,summary,4,1
112,41,17,summary,3,1
113,41,17,assignment,3,2
114,41,17,summary,3,3
115,41,17,assignment,4,4
116,42,17,assignment,4,1
117,42,17,assignment,5,2
118,43,17,assignment,5,1
119,43,17,assignment,4,2
120,44,18,assignment,3,1
121,44,18,assignment,3,2
122,44,18,summary,3,3
123,44,18,summary,3,4
124,45,18,assignment,4,1
125,45,18,assignment,4,2
126,45,18,assignment,4,3
127,45,18,assignment,4,4
128,46,18,assignment,4,1
129,46,18,assignment,3,2
130,46,18,assignment,4,3
131,46,18,assignment,3,4
132,47,19,assignment,3,1
133,47,19,summary,3,2
134,47,19,assignment,3,3
135,47,19,assignment,5,4
136,48,20,assignment,4,1
137,49,20,assignment,3,1
138,49,20,assignment,4,2
139,49,20,summary,4,3
140,50,20,assignment,5,1
141,50,20,summary,4,2
142,50,20,assignment,3,3
143,50,20,assignment,5,4
144,51,21,report,4,1
145,51,21,report,5,2
146,51,21,report,5,3
147,52,21,summary,3,1
148,52,21,report,4,2
149,52,21,report,3,3
150,52,21,summary,4,4
151,53,22,assignment,3,1
152,53,22,assignment,4,2
153,53,22,assignment,5,3
154,54,22,assignment,3,1
155,54,22,assignment,3,2
156,55,22,assignment,5,1
157,55,22,assignment,5,2
158,56,23,assignment,8,1
159,56,23,assignment,7,2
160,56,23,assignment,7,3
161,56,23,assignment,9,4
162,56,23,summary,7,5
163,57,23,assignment,8,1
164,57,23,summary,7,2
165,57,23,assignment,8,3
166,57,23,assignment,8,4
167,57,23,assignment,8,5
168,58,23,summary,8,1
169,58,23,assignment,8,2
170,58,23,summary,9,3
171,58,23,summary,8,4
172,58,23,assignment,8,5
173,59,24,assignment,3,1
174,59,24,assignment,5,2
175,59,24,assignment,5,3
176,60,25,assignment,6,1
177,61,26,summary,4,1
178,61,26,report,5,2
179,61,26,report,3,3
180,61,26,report,5,4
181,62,26,summary,5,1
182,62,26,report,5,2
183,62,26,summary,5,3
184,62,26,summary,5,4
185,62,26,report,3,5
186,63,27,assignment,8,1
187,63,27,assignment,8,2
188,64,27,assignment,9,1
189,64,27,summary,9,2
190,64,27,assignment,9,3
191,64,27,assignment,8,4
192,65,27,assignment,7,1
193,65,27,assignment,7,2
194,66,28,assignment,9,1
195,67,28,assignment,8,1
196,67,28,summary,8,2
197,67,28,assignment,7,3
198,67,28,assignment,7,4
199,68,28,summary,8,1
200,69,29,summary,5,1
201,70,30,assignment,6,1
202,70,30,assignment,7,2
203,71,30,assignment,6,1
204,71,30,assignment,5,2
205,72,31,summary,5,1
206,72,31,report,5,2
207,72,31,summary,4,3
208,72,31,report,3,4
209,73,31,report,3,1
210,74,32,assignment,7,1
211,74,32,assignment,8,2
212,75,33,assignment,7,1
213,75,33,assignment,7,2
214,75,33,assignment,8,3
215,75,33,summary,7,4
216,76,34,report,7,1
217,76,34,summary,7,2
218,76,34,report,9,3
219,76,34,summary,8,4
220,77,34,summary,9,1
