session_id,user_id,session_number,session_date
1,1,1,2024-03-22
2,1,2,2024-03-23
3,2,1,2024-01-15
4,3,1,2024-01-04
5,3,2,2024-01-05
6,3,3,2024-01-06
7,4,1,2024-02-05
8,4,2,2024-02-06
9,4,3,2024-02-07
10,5,1,2024-02-01
11,5,2,2024-02-02
12,5,3,2024-02-03
13,6,1,2024-01-29
14,6,2,2024-01-30
15,6,3,2024-01-31
16,7,1,2024-01-18
17,7,2,2024-01-19
18,7,3,2024-01-20
19,8,1,2024-01-14
20,8,2,2024-01-15
21,8,3,2024-01-16
22,9,1,2024-03-27
23,9,2,2024-03-28
24,9,3,2024-03-29
25,10,1,2024-03-10
26,10,2,2024-03-11
27,10,3,2024-03-12
28,11,1,2024-01-12
29,12,1,2024-03-16
30,12,2,2024-03-17
31,13,1,2024-02-24
32,13,2,2024-02-25
33,14,1,2024-01-05
34,14,2,2024-01-06
35,15,1,2024-01-04
36,15,2,2024-01-05
37,15,3,2024-01-06
38,16,1,2024-01-12
39,16,2,2024-01-13
40,16,3,2024-01-14
41,17,1,2024-01-28
42,17,2,2024-01-29
43,17,3,2024-01-30
44,18,1,2024-01-30
45,18,2,2024-01-31
46,18,3,2024-02-01
47,19,1,2024-03-05
48,20,1,2024-03-18
49,20,2,2024-03-19
50,20,3,2024-03-20
51,21,1,2024-01-04
52,21,2,2024-01-05
53,22,1,2024-03-12
54,22,2,2024-03-13
55,22,3,2024-03-14
56,23,1,2024-01-26
57,23,2,2024-01-27
58,23,3,2024-01-28
59,24,1,2024-03-24
60,25,1,2024-03-30
61,26,1,2024-03-10
62,26,2,2024-03-11
63,27,1,2024-02-23
64,27,2,2024-02-24
65,27,3,2024-02-25
66,28,1,2024-01-29
67,28,2,2024-01-30
68,28,3,2024-01-31
69,29,1,2024-02-27
70,30,1,2024-03-16
71,30,2,2024-03-17
72,31,1,2024-02-05
73,31,2,2024-02-06
74,32,1,2024-01-01
75,33,1,2024-01-21
76,34,1,2024-03-30
77,34,2,2024-03-31
78,34,3,2024-04-01
79,35,1,2024-02-24
80,35,2,2024-02-25
81,36,1,2024-02-13
82,36,2,2024-02-14
83,37,1,2024-02-05
84,38,1,2024-01-20
85,39,1,2024-01-28
86,40,1,2024-02-13
87,40,2,2024-02-14
88,41,1,2024-01-14
89,42,1,2024-01-12
90,42,2,2024-01-13
91,43,1,2024-02-18
92,44,1,2024-01-13
93,44,2,2024-01-14
94,45,1,2024-02-15
95,46,1,2024-02-14
96,46,2,2024-02-15
97,47,1,2024-03-18
98,47,2,2024-03-19
99,47,3,2024-03-20
100,48,1,2024-02-03
101,48,2,2024-02-04
102,48,3,2024-02-05
103,49,1,2024-01-06
104,49,2,2024-01-07
105,50,1,2024-02-28
106,50,2,2024-02-29
107,50,3,2024-03-01
108,51,1,2024-03-09
109,51,2,2024-03-10
110,51,3,2024-03-11
111,52,1,2024-01-16
112,52,2,2024-01-17
113,52,3,2024-01-18
114,53,1,2024-02-18
115,53,2,2024-02-19
116,54,1,2024-01-11
117,54,2,2024-01-12
118,55,1,2024-03-11
119,55,2,2024-03-12
120,55,3,2024-03-13
121,56,1,2024-02-07
122,56,2,2024-02-08
123,57,1,2024-03-21
124,57,2,2024-03-22
125,57,3,2024-03-23
126,58,1,2024-03-20
127,58,2,2024-03-21
128,59,1,2024-02-16
129,59,2,2024-02-17
130,60,1,2024-03-14
131,60,2,2024-03-15
132,60,3,2024-03-16
133,61,1,2024-01-25
134,61,2,2024-01-26
135,62,1,2024-03-31
136,62,2,2024-04-01
137,62,3,2024-04-02
138,63,1,2024-01-09
139,63,2,2024-01-10
140,64,1,2024-01-06
141,65,1,2024-03-25
142,66,1,2024-01-30
143,66,2,2024-01-31
144,66,3,2024-02-01
145,67,1,2024-02-07
146,68,1,2024-01-11
147,68,2,2024-01-12
148,69,1,2024-01-30
149,69,2,2024-01-31
150,69,3,2024-02-01
151,70,1,2024-01-13
152,70,2,2024-01-14
153,71,1,2024-02-18
154,72,1,2024-02-05
155,72,2,2024-02-06
156,72,3,2024-02-07
157,73,1,2024-02-28
158,73,2,2024-02-29
159,73,3,2024-03-01
160,74,1,2024-03-22
161,74,2,2024-03-23
162,74,3,2024-03-24
163,75,1,2024-02-16
164,76,1,2024-01-21
165,76,2,2024-01-22
166,76,3,2024-01-23
167,77,1,2024-02-17
168,78,1,2024-02-15
169,78,2,2024-02-16
170,79,1,2024-01-27
171,79,2,2024-01-28
172,80,1,2024-03-26
173,81,1,2024-02-04
174,81,2,2024-02-05
175,81,3,2024-02-06
176,82,1,2024-03-30
177,83,1,2024-03-28
178,83,2,2024-03-29
179,83,3,2024-03-30
180,84,1,2024-03-23
181,84,2,2024-03-24
182,85,1,2024-01-10
183,86,1,2024-03-18
184,86,2,2024-03-19
185,86,3,2024-03-20
186,87,1,2024-03-22
187,87,2,2024-03-23
188,88,1,2024-01-22
189,89,1,2024-03-09
190,90,1,2024-02-01
191,90,2,2024-02-02
192,91,1,2024-01-21
193,91,2,2024-01-22
194,91,3,2024-01-23
195,92,1,2024-02-29
196,92,2,2024-03-01
197,93,1,2024-02-18
198,94,1,2024-02-04
199,94,2,2024-02-05
200,94,3,2024-02-06
201,95,1,2024-03-22
202,96,1,2024-03-29
203,97,1,2024-03-12
204,97,2,2024-03-13
205,98,1,2024-01-29
206,98,2,2024-01-30
207,99,1,2024-03-28
208,99,2,2024-03-29
209,100,1,2024-02-11
210,100,2,2024-02-12
211,101,1,2024-01-08
212,101,2,2024-01-09
213,102,1,2024-01-30
214,102,2,2024-01-31
215,103,1,2024-01-05
216,104,1,2024-02-10
217,105,1,2024-02-21
218,106,1,2024-02-04
219,106,2,2024-02-05
220,106,3,2024-02-06
221,107,1,2024-01-09
222,107,2,2024-01-10
223,108,1,2024-01-28
224,109,1,2024-03-13
225,109,2,2024-03-14
226,110,1,2024-02-10
227,110,2,2024-02-11
228,111,1,2024-01-28
229,112,1,2024-03-24
230,113,1,2024-03-04
231,113,2,2024-03-05
232,113,3,2024-03-06
233,114,1,2024-02-20
234,114,2,2024-02-21
235,115,1,2024-03-23
236,116,1,2024-02-28
237,117,1,2024-01-19
238,117,2,2024-01-20
239,117,3,2024-01-21
240,118,1,2024-02-03
241,118,2,2024-02-04
242,119,1,2024-01-18
243,120,1,2024-02-01
244,121,1,2024-03-12
245,121,2,2024-03-13
246,122,1,2024-03-09
247,122,2,2024-03-10
248,123,1,2024-02-03
249,123,2,2024-02-04
250,123,3,2024-02-05
251,124,1,2024-03-15
252,124,2,2024-03-16
253,125,1,2024-02-24
254,125,2,2024-02-25
255,125,3,2024-02-26
256,126,1,2024-03-15
257,126,2,2024-03-16
258,127,1,2024-02-21
259,127,2,2024-02-22
260,128,1,2024-02-16
261,128,2,2024-02-17
262,129,1,2024-01-29
263,129,2,2024-01-30
264,130,1,2024-01-18
265,130,2,2024-01-19
266,130,3,2024-01-20
267,131,1,2024-03-06
268,131,2,2024-03-07
269,131,3,2024-03-08
270,132,1,2024-03-04
271,133,1,2024-01-12
272,134,1,2024-01-07
273,134,2,2024-01-08
274,134,3,2024-01-09
275,135,1,2024-01-15
276,135,2,2024-01-16
277,135,3,2024-01-17
278,136,1,2024-01-20
279,136,2,2024-01-21
280,137,1,2024-03-21
281,137,2,2024-03-22
282,138,1,2024-01-21
283,138,2,2024-01-22
284,138,3,2024-01-23
285,139,1,2024-03-28
286,139,2,2024-03-29
