user_id,experiment_group,retained_after_experiment,total_sessions,converted_to_paid,monthly_revenue
1,control,0,1,0,0
1,treatment,1,2,1,20
2,treatment,1,1,1,20
3,control,1,3,0,0
3,treatment,0,2,0,0
4,control,1,3,0,0
4,treatment,1,3,0,0
5,control,0,3,0,0
5,treatment,1,2,0,0
6,control,1,2,0,0
6,treatment,1,3,1,20
7,control,0,1,0,0
7,treatment,1,2,1,20
8,control,1,2,0,0
8,treatment,1,3,0,0
9,control,1,3,1,20
9,treatment,1,2,1,20
10,control,1,3,0,0
10,treatment,1,1,0,0
11,treatment,1,1,1,20
12,control,0,1,0,0
12,treatment,1,2,1,20
13,control,1,2,0,0
13,treatment,1,1,1,20
14,control,0,2,0,0
14,treatment,1,2,0,0
15,control,1,2,0,0
15,treatment,1,2,0,0
16,control,0,3,0,0
16,treatment,1,2,0,0
17,control,0,3,0,0
17,treatment,1,1,0,0
18,control,0,3,0,0
18,treatment,1,3,0,0
19,control,0,1,0,0
19,treatment,1,1,1,20
20,control,0,2,0,0
20,treatment,1,3,1,20
21,control,1,2,1,20
21,treatment,1,2,0,0
22,control,1,2,1,20
22,treatment,1,1,0,0
23,control,1,3,0,0
23,treatment,1,3,0,0
24,treatment,1,1,0,0
25,treatment,1,1,0,0
26,control,1,2,0,0
26,treatment,1,1,0,0
27,control,1,3,0,0
27,treatment,1,1,0,0
28,control,1,3,1,20
28,treatment,1,1,1,20
29,control,0,1,0,0
30,control,1,1,0,0
30,treatment,1,1,0,0
31,treatment,1,2,0,0
32,control,1,1,1,20
32,treatment,1,1,1,20
33,control,1,1,1,20
33,treatment,0,1,0,0
34,control,1,3,0,0
34,treatment,1,3,0,0
35,control,1,2,1,20
35,treatment,1,2,0,0
36,control,0,2,0,0
36,treatment,1,1,1,20
37,control,1,1,1,20
37,treatment,1,1,1,20
38,control,0,1,0,0
38,treatment,0,1,0,0
39,control,0,1,0,0
39,treatment,1,1,0,0
40,control,0,2,0,0
40,treatment,0,1,0,0
41,control,1,1,0,0
41,treatment,1,1,1,20
42,control,1,1,0,0
42,treatment,1,2,0,0
43,control,0,1,0,0
43,treatment,1,1,0,0
44,control,1,2,0,0
44,treatment,1,2,1,20
45,control,1,1,0,0
45,treatment,0,1,0,0
46,control,0,1,0,0
46,treatment,1,1,1,20
47,control,1,3,0,0
47,treatment,1,2,0,0
48,control,0,3,0,0
48,treatment,1,3,0,0
49,control,1,1,0,0
49,treatment,1,2,1,20
50,control,1,2,1,20
50,treatment,1,2,0,0
51,control,1,2,1,20
51,treatment,1,2,0,0
52,control,1,3,0,0
52,treatment,1,2,0,0
53,control,1,2,0,0
53,treatment,1,2,0,0
54,control,0,2,0,0
54,treatment,1,2,0,0
55,control,1,2,0,0
55,treatment,1,2,0,0
56,control,0,1,0,0
56,treatment,1,1,1,20
57,control,0,3,0,0
58,control,1,1,1,20
58,treatment,1,2,0,0
59,control,1,2,0,0
59,treatment,1,1,0,0
60,control,0,3,0,0
60,treatment,1,3,1,20
61,control,0,2,0,0
61,treatment,1,1,1,20
62,control,0,3,0,0
62,treatment,1,3,0,0
63,control,1,2,0,0
64,control,0,1,0,0
64,treatment,0,1,0,0
65,control,0,1,0,0
66,control,1,3,0,0
66,treatment,1,3,0,0
67,control,0,1,0,0
68,control,1,2,1,20
68,treatment,1,2,0,0
69,control,1,3,1,20
69,treatment,1,3,0,0
70,control,1,2,0,0
70,treatment,1,2,0,0
71,control,1,1,0,0
71,treatment,1,1,0,0
72,control,1,3,0,0
72,treatment,1,3,0,0
73,control,1,2,0,0
73,treatment,1,3,0,0
74,control,1,3,1,20
74,treatment,1,2,0,0
75,control,1,1,1,20
75,treatment,1,1,0,0
76,control,0,3,0,0
76,treatment,1,2,0,0
77,control,0,1,0,0
77,treatment,0,1,0,0
78,control,0,2,0,0
78,treatment,1,2,1,20
79,control,0,2,0,0
79,treatment,1,2,1,20
80,treatment,1,1,0,0
81,control,1,2,1,20
81,treatment,1,3,1,20
82,control,0,1,0,0
83,control,1,3,0,0
83,treatment,1,3,1,20
84,control,0,2,0,0
84,treatment,1,2,0,0
85,treatment,1,1,0,0
86,control,1,3,1,20
86,treatment,1,2,0,0
87,control,1,2,0,0
87,treatment,1,1,1,20
88,treatment,1,1,1,20
89,control,1,1,0,0
90,control,0,2,0,0
90,treatment,1,1,0,0
91,control,0,2,0,0
91,treatment,1,3,0,0
92,control,0,2,0,0
92,treatment,1,1,0,0
93,control,0,1,0,0
93,treatment,1,1,0,0
94,control,1,1,0,0
