user_id,user_type,experience_level,signup_date,retained
1,student,beginner,2024-03-22,0
2,professional,beginner,2024-01-15,1
3,professional,beginner,2024-01-04,0
4,student,intermediate,2024-02-05,1
5,student,beginner,2024-02-01,0
6,student,advanced,2024-01-29,1
7,student,beginner,2024-01-18,0
8,professional,intermediate,2024-01-14,1
9,professional,intermediate,2024-03-27,1
10,professional,intermediate,2024-03-10,1
11,student,advanced,2024-01-12,1
12,professional,intermediate,2024-03-16,1
13,professional,advanced,2024-02-24,1
14,student,beginner,2024-01-05,1
15,student,intermediate,2024-01-04,1
16,student,beginner,2024-01-12,0
17,student,beginner,2024-01-28,1
18,student,beginner,2024-01-30,0
19,student,beginner,2024-03-05,0
20,student,beginner,2024-03-18,1
21,professional,beginner,2024-01-04,0
22,student,beginner,2024-03-12,1
23,student,advanced,2024-01-26,1
24,student,beginner,2024-03-24,1
25,student,intermediate,2024-03-30,0
26,professional,beginner,2024-03-10,0
27,student,advanced,2024-02-23,1
28,student,advanced,2024-01-29,1
29,student,intermediate,2024-02-27,0
30,student,intermediate,2024-03-16,1
31,professional,beginner,2024-02-05,0
32,student,advanced,2024-01-01,1
33,student,advanced,2024-01-21,1
34,professional,advanced,2024-03-30,1
35,professional,intermediate,2024-02-24,1
36,professional,beginner,2024-02-13,1
37,student,advanced,2024-02-05,1
38,student,beginner,2024-01-20,0
39,professional,intermediate,2024-01-28,0
40,student,beginner,2024-02-13,0
41,student,advanced,2024-01-14,1
42,student,beginner,2024-01-12,0
43,student,beginner,2024-02-18,1
44,professional,intermediate,2024-01-13,1
45,student,intermediate,2024-02-15,1
46,professional,intermediate,2024-02-14,1
47,student,beginner,2024-03-18,0
48,student,beginner,2024-02-03,0
49,student,intermediate,2024-01-06,1
50,student,advanced,2024-02-28,1
51,professional,advanced,2024-03-09,1
52,professional,beginner,2024-01-16,1
53,professional,advanced,2024-02-18,1
54,professional,beginner,2024-01-11,0
55,student,intermediate,2024-03-11,1
56,professional,beginner,2024-02-07,1
57,student,beginner,2024-03-21,0
58,student,intermediate,2024-03-20,1
59,student,intermediate,2024-02-16,1
60,student,beginner,2024-03-14,0
61,student,beginner,2024-01-25,0
62,student,beginner,2024-03-31,1
63,professional,intermediate,2024-01-09,1
64,student,beginner,2024-01-06,0
65,student,beginner,2024-03-25,0
66,student,intermediate,2024-01-30,1
67,student,intermediate,2024-02-07,1
68,professional,intermediate,2024-01-11,1
